pm10,pm25,co,so2,no2,o3,datatime
20,15,0.3,0.003,0.012,0.029,06
23,16,0.4,0.003,0.015,0.024,05
20,15,0.4,0.003,0.015,0.029,04
22,17,0.4,0.003,0.015,0.031,03
19,15,0.4,0.003,0.018,0.032,02
21,14,0.4,0.003,0.019,0.035,01
21,15,0.4,0.003,0.020,0.036,24
20,13,0.4,0.003,0.019,0.034,23
19,12,0.4,0.003,0.016,0.039,22
21,12,0.4,0.003,0.015,0.042,21
26,15,0.4,0.003,0.014,0.044,20
24,16,0.4,0.003,0.013,0.052,19
20,13,0.3,0.003,0.015,0.054,18
20,14,0.3,0.003,0.016,0.057,17
14,9,0.3,0.003,0.012,0.061,16
23,16,0.4,0.004,0.015,0.070,15
32,23,0.5,0.005,0.019,0.106,14
28,16,0.5,0.005,0.021,0.074,13
21,13,0.4,0.004,0.021,0.049,12
16,13,0.4,0.004,0.020,0.034,11
13,6,0.4,0.003,0.015,0.030,10
13,5,0.4,0.003,0.018,0.023,09
11,5,0.3,0.002,0.016,0.021,08
9,5,0.3,0.003,0.013,0.024,07
9,5,0.3,0.003,0.008,0.029,06
11,4,0.3,0.003,0.006,0.031,05
9,5,0.3,0.002,0.005,0.033,04
9,6,0.3,0.002,0.004,0.034,03
7,4,0.3,0.002,0.005,0.033,02
7,4,0.3,0.003,0.006,0.031,01
6,4,0.3,0.002,0.007,0.029,24
7,4,0.3,0.002,0.008,0.032,23
6,3,0.3,0.003,0.008,0.030,22
8,6,0.3,0.002,0.010,0.029,21
11,7,0.4,0.003,0.013,0.029,20
15,7,0.3,0.003,0.012,0.037,19
16,9,0.3,0.003,0.010,0.044,18
17,8,0.3,0.003,0.010,0.050,17
14,8,0.3,0.003,0.009,0.052,16
14,8,0.3,0.003,0.008,0.050,15
14,8,0.3,0.003,0.008,0.051,14
13,8,0.3,0.003,0.008,0.055,13
14,10,0.3,0.003,0.008,0.053,12
13,11,0.3,0.003,0.009,0.049,11
7,2,0.3,0.003,0.011,0.043,10
6,3,0.3,0.003,0.013,0.035,09
7,3,0.3,0.003,0.012,0.033,08
6,5,0.3,0.003,0.010,0.034,07
7,4,0.2,0.003,0.007,0.037,06
8,5,0.3,0.003,0.009,0.032,05
7,5,0.2,0.002,0.006,0.036,04
8,7,0.2,0.002,0.006,0.037,03
9,5,0.2,0.003,0.009,0.036,02
7,4,0.3,0.003,0.010,0.030,01
9,7,0.3,0.003,0.010,0.029,24
11,7,0.3,0.002,0.011,0.028,23
11,8,0.3,0.002,0.014,0.027,22
11,9,0.3,0.002,0.017,0.024,21
11,8,0.3,0.003,0.015,0.031,20
10,5,0.3,0.003,0.013,0.037,19
10,6,0.3,0.002,0.011,0.043,18
18,14,0.2,0.003,0.008,0.044,17
19,15,0.3,0.003,0.009,0.043,16
19,17,0.3,0.003,0.008,0.048,15
18,12,0.3,0.003,0.008,0.048,14
18,14,0.3,0.003,0.007,0.052,13
20,16,0.3,0.003,0.007,0.052,12
14,9,0.3,0.003,0.007,0.042,11
15,9,0.3,0.003,0.009,0.030,10
16,12,0.3,0.003,0.009,0.024,09
20,12,0.3,0.003,0.013,0.016,08
22,15,0.3,0.003,0.011,0.019,07
23,15,0.3,0.003,0.008,0.022,06
24,14,0.3,0.003,0.007,0.026,05
19,12,0.3,0.003,0.008,0.025,04
21,14,0.4,0.003,0.010,0.026,03
19,12,0.4,0.003,0.011,0.026,02
19,12,0.4,0.003,0.015,0.024,01
17,11,0.3,0.003,0.014,0.029,24
11,10,0.3,0.003,0.009,0.036,23
15,10,0.3,0.003,0.010,0.032,22
15,8,0.3,0.003,0.008,0.033,21
14,9,0.3,0.003,0.007,0.036,20
12,11,0.3,0.003,0.008,0.040,19
12,7,0.3,0.003,0.007,0.054,18
11,7,0.2,0.003,0.007,0.059,17
13,8,0.3,0.003,0.007,0.068,16
13,6,0.3,0.003,0.009,0.073,15
14,10,0.3,0.003,0.010,0.074,14
15,10,0.3,0.003,0.010,0.070,13
14,11,0.3,0.003,0.010,0.067,12
17,11,0.3,0.003,0.012,0.059,11
15,8,0.3,0.003,0.013,0.044,10
14,8,0.3,0.003,0.016,0.021,09
13,6,0.3,0.003,0.016,0.012,08
16,6,0.3,0.003,0.017,0.006,07
13,6,0.3,0.003,0.017,0.006,06
12,5,0.3,0.003,0.014,0.009,05
11,6,0.3,0.003,0.014,0.011,04
13,8,0.3,0.003,0.012,0.014,03
11,7,0.3,0.003,0.018,0.013,02
11,7,0.3,0.003,0.018,0.018,01
10,6,0.3,0.003,0.017,0.017,24
11,9,0.3,0.003,0.017,0.016,23
12,7,0.3,0.003,0.018,0.015,22
11,9,0.4,0.003,0.027,0.015,21
11,7,0.3,0.003,0.026,0.016,20
14,8,0.4,0.003,0.023,0.020,19
7,2,0.3,0.003,0.014,0.029,18
